"Saxonszám";"Fajta";"Gyartmány";"Tipus";"Funkció";"Különleges tulajdonság";"Felszereltség";"Megjegyzés";"Üzemmód";"Teherbírás";"Emelő magasság";"Első kerék";"Hátsó kerék";"Motor";"Akkumulátor";"Villák";"Tárolás";"Tárolás";"Mező";"Mező";"Eladási ár";"Eladó neve";"Bizonylatszám";"Vételi ár";"Category"
"W-0041";"ELLENSÚLY";"TOYOTA";"8FGU30";" n/a";;"NO";;"FŐDARAB";3000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1800;;;0;"Karosszéria elemek"
"W-0042";"ELLENSÚLY";"MITSUBISHI";"FD20T";" n/a";;"NO";;"FŐDARAB";2000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;600;;;0;"Karosszéria elemek"
"W-0043";"ELLENSÚLY";"CATERPILLAR";"DP20K (JAPAN)";" n/a";;"NO";;"FŐDARAB";2000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;600;;;0;"Karosszéria elemek"
"W-0044";"ELLENSÚLY";"KOMATSU";"FD20T-14 LEO";" n/a";;"NO";;"FŐDARAB";2000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;600;;;0;"Karosszéria elemek"
"W-0045";"ELLENSÚLY";"MITSUBISHI";"FD25T";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0046";"ELLENSÚLY";"CATERPILLAR";"DP35K (BIG)";" n/a";;"NO";;"FŐDARAB";3500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1350;;;0;"Karosszéria elemek"
"W-0047";"ELLENSÚLY";"MITSUBISHI";"FG25K";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0048";"ELLENSÚLY";"KOMATSU";"FD40T-8 LEO";" n/a";;"NO";;"FŐDARAB";4000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1500;;;0;"Karosszéria elemek"
"W-0049";"ELLENSÚLY";"MITSUBISHI";"FD15N";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0050";"ELLENSÚLY";"KOMATSU";"FD15T-20 NXT";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0051";"ELLENSÚLY";"MITSUBISHI";"FD15K (JAPAN)";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0052";"ELLENSÚLY";"CATERPILLAR";"DP45K";" n/a";;"NO";;"FŐDARAB";4500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1500;;;0;"Karosszéria elemek"
"W-0053";"ELLENSÚLY";"AUSA";"FD20";" n/a";;"NO";;"FŐDARAB";2000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1800;;;0;"Karosszéria elemek"
"W-0054";"ELLENSÚLY";"MITSUBISHI";"FD25T";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0055";"ELLENSÚLY";"LINDE";"H16 (350)";" n/a";;"NO";;"FŐDARAB";1600;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1200;;;0;"Karosszéria elemek"
"W-0056";"ELLENSÚLY";"TOYOTA";"7FD15";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0057";"ELLENSÚLY";"MITSUBISHI";"FD18K";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0058";"ELLENSÚLY";"NISSAN";"FD20 (SPAIN) SILVER";" n/a";;"NO";;"FŐDARAB";2000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0059";"ELLENSÚLY";"TOYOTA";"7FB25";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0060";"ELLENSÚLY";"NISSAN";"FG15 (SPAIN) PH02-M15";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
